"You have recently added this product to your Cart","You have recently added this product to your Cart"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Out of stock","Out of stock"
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"Loading...","Loading..."
"Loading...","Loading..."
Adding...,Adding...
Added,Added
Add to Cart,Add to Cart
"Choose an Option...","Choose an Option..."
"Grouped product items","Grouped product items"
"Product Name","Product Name"\\
"Qty","Qty"
"Availability","Availability"
"Out of stock","Out of stock"
"No options of this product are available.","No options of this product are available."
"Cancel","Cancel"
"Add to Cart","Add to Cart"
"There are ","There are "
" items"," items"
" in your cart."," in your cart."
"Cart Subtotal: ","Cart Subtotal:
"Error","Error"
"Continue Shopping","Continue Shopping"
"Continue Shopping ","Continue Shopping "
"View Cart","View Cart"
"* Required Fields","* Required Fields"
"Success","Success"



